ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			6			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			4658			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			39			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1032	Graham	Lindsey			6			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1031	Fiorina	Carly			15			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1030	Cruz	Ted			7556			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1029	Christie	Chris			36			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1028	Carson	Ben			364			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1027	Bush	Jeb			165			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1050	Uncommitted				35			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	1	Democratic	-1049	Uncommitted				26			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	1	Democratic	-1044	De La Fuente	Roque			4			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	1	Democratic	-1043	Sanders	Bernie			1347			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	1	Democratic	-1042	O'Malley	Martin			11			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	1	Democratic	-1041	Clinton	Hillary			1102			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1040	Trump	Donald			1885			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1039	Santorum	Rick			3			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1038	Rubio	Marco			318			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1037	Paul	Rand			16			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			3			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			785			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			6			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1032	Graham	Lindsey			0			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1031	Fiorina	Carly			2			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1030	Cruz	Ted			1125			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1029	Christie	Chris			8			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1028	Carson	Ben			60			
2016-03-08	1	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	Republican	-1027	Bush	Jeb			24			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1050	Uncommitted				65			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	1	Democratic	-1049	Uncommitted				39			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	1	Democratic	-1044	De La Fuente	Roque			0			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	1	Democratic	-1043	Sanders	Bernie			1491			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	1	Democratic	-1042	O'Malley	Martin			5			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	1	Democratic	-1041	Clinton	Hillary			867			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1040	Trump	Donald			1969			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1039	Santorum	Rick			11			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1038	Rubio	Marco			424			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1037	Paul	Rand			9			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			2			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			1025			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			10			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1032	Graham	Lindsey			4			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1031	Fiorina	Carly			5			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1030	Cruz	Ted			1201			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1029	Christie	Chris			17			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1028	Carson	Ben			91			
2016-03-08	1	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	Republican	-1027	Bush	Jeb			44			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1050	Uncommitted				32			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	1	Democratic	-1049	Uncommitted				24			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	1	Democratic	-1044	De La Fuente	Roque			3			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	1	Democratic	-1043	Sanders	Bernie			663			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	1	Democratic	-1042	O'Malley	Martin			5			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	1	Democratic	-1041	Clinton	Hillary			595			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1040	Trump	Donald			1141			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1039	Santorum	Rick			2			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1038	Rubio	Marco			178			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1037	Paul	Rand			4			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			0			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			328			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			3			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1032	Graham	Lindsey			2			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1031	Fiorina	Carly			3			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1030	Cruz	Ted			472			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1029	Christie	Chris			4			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1028	Carson	Ben			34			
2016-03-08	1	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	Republican	-1027	Bush	Jeb			21			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1050	Uncommitted				17			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	1	Democratic	-1049	Uncommitted				25			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	1	Democratic	-1044	De La Fuente	Roque			0			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	1	Democratic	-1043	Sanders	Bernie			371			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	1	Democratic	-1042	O'Malley	Martin			3			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	1	Democratic	-1041	Clinton	Hillary			270			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1040	Trump	Donald			468			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1039	Santorum	Rick			2			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1038	Rubio	Marco			96			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1037	Paul	Rand			3			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			1			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			197			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			3			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1032	Graham	Lindsey			2			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1031	Fiorina	Carly			1			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1030	Cruz	Ted			239			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1029	Christie	Chris			1			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1028	Carson	Ben			19			
2016-03-08	1	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	Republican	-1027	Bush	Jeb			5			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1050	Uncommitted				115			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	1	Democratic	-1049	Uncommitted				74			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	1	Democratic	-1044	De La Fuente	Roque			2			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	1	Democratic	-1043	Sanders	Bernie			3078			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	1	Democratic	-1042	O'Malley	Martin			12			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	1	Democratic	-1041	Clinton	Hillary			1736			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1040	Trump	Donald			3478			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1039	Santorum	Rick			13			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1038	Rubio	Marco			875			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1037	Paul	Rand			33			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			2			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			2191			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			25			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1032	Graham	Lindsey			3			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1031	Fiorina	Carly			6			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1030	Cruz	Ted			3449			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1029	Christie	Chris			38			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1028	Carson	Ben			251			
2016-03-08	1	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	Republican	-1027	Bush	Jeb			85			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1050	Uncommitted				371			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	1	Democratic	-1049	Uncommitted				555			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	1	Democratic	-1044	De La Fuente	Roque			16			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	1	Democratic	-1043	Sanders	Bernie			6363			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	1	Democratic	-1042	O'Malley	Martin			41			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	1	Democratic	-1041	Clinton	Hillary			5937			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1040	Trump	Donald			5738			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1039	Santorum	Rick			17			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1038	Rubio	Marco			1248			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1037	Paul	Rand			45			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			6			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			2304			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			22			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1032	Graham	Lindsey			4			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1031	Fiorina	Carly			13			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1030	Cruz	Ted			3631			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1029	Christie	Chris			32			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1028	Carson	Ben			215			
2016-03-08	1	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	2	Republican	-1027	Bush	Jeb			127			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1050	Uncommitted				39			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	1	Democratic	-1049	Uncommitted				43			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	1	Democratic	-1044	De La Fuente	Roque			0			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	1	Democratic	-1043	Sanders	Bernie			1650			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	1	Democratic	-1042	O'Malley	Martin			2			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	1	Democratic	-1041	Clinton	Hillary			853			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1040	Trump	Donald			1278			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1039	Santorum	Rick			7			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1038	Rubio	Marco			264			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1037	Paul	Rand			7			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			1			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			674			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			7			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1032	Graham	Lindsey			2			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1031	Fiorina	Carly			4			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1030	Cruz	Ted			782			
2016-03-08	1	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	Republican	-1029	Christie	Chris			8			
